galaxy,star,g,g0,r0,slit,t_exp,sn_ratio1,sn_ratio2,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
CarII,CarII-6544,15.07,15.63,14.63,0.5,1.8,22,67,5293947247051916544,114.21297461491112,0.018527612,-58.029542993259426,0.019248867,0.00905785817757301,0.019273313,1.8796254,1.8768684453638007,0.023751458,0.10176684061813124,0.026443958,15.056668,15.881696,14.169123,17876.367074530415,20.212696,6063.712323180418,27.383142,17041.557525486664,59.14442,0.06291848344350509
CarII,CarII-7872,15.5,15.92,15.01,0.7,1.0,25,60,5293894539213647872,114.21619994811881,0.024513345,-58.27756906978278,0.029452147,-0.03240848163586771,0.026659738,1.8412905,1.8380922405226754,0.033767093,0.10847864528170094,0.03889184,15.4842005,16.240309,14.635464,12057.758099819413,5.7039356,4358.061422627487,10.613499,11091.052895124949,18.092154,0.05100324211609814
CarII,CarII-5664,16.33,16.55,15.86,0.7,3.8,38,80,5293896360279425664,114.53547463922749,0.03578611,-58.159744911191616,0.038728695,0.06747478716313249,0.03850416,1.9939002,1.9832877361435977,0.049621668,0.20544522210216715,0.05246264,16.31183,16.961609,15.53968,5626.196783666586,2.8705857,2242.7128543612416,14.735732,4822.657733807956,11.804124,0.08745105522092404
CarII,CarII-0064,16.78,16.96,16.3,1.0,2.6,22,54,5293951473299720064,114.08856701503105,0.053474,-57.96672128551054,0.047938224,0.14570956954768272,0.04977047,1.8824798,1.8777234793062778,0.07213639,0.13373423802719892,0.06650138,16.767,17.406307,15.998985,3699.532874890895,2.5746799,1488.9982329184904,20.317345,3159.1060378828006,13.365481,0.04845058100170459
CarII,CarII-4704,17.4,17.46,16.93,0.7,3.3,13,34,5293928074318766848,113.90693924827929,0.061159138,-58.0310365174416,0.065123945,0.047538838558050814,0.0648198,1.9142243,1.9114840800700192,0.07953011,0.10238821979894568,0.07957939,17.377235,17.945782,16.66381,2108.8828943139706,1.8325855,905.9499075920229,6.865592,1712.5123445012214,9.340256,0.08103355591716989
CarII,CarII-9296,17.72,17.86,17.29,1.0,3.0,15,35,5293900827045399296,114.41580473942139,0.06632474,-58.08525520650169,0.07903606,-0.055318503407920765,0.07341793,1.9010702,1.8985406146544843,0.089116,0.09803838023840895,0.11082176,17.703009,18.249859,16.97897,1562.2241892178229,1.5372778,684.6575197205141,9.360545,1281.0625933667827,8.439412,0.03109915316633505
CarII,CarII-2064,18.22,18.27,17.77,0.7,4.6,13,31,5293951881319592064,114.00554698267602,0.108028114,-57.97882723910497,0.104839206,0.10202007659893482,0.11085168,1.9345757,1.9305668102086249,0.13880026,0.12447900081837526,0.13393626,18.19822,18.778385,17.517086,990.0548993286316,1.5139685,420.7878596783756,7.9439883,780.4112042189472,9.724608,0.02403665626214488
CarII,CarII-4928,18.42,18.4,17.96,1.0,5.5,13,31,5293951503362524928,114.10412001824488,0.11707709,-57.95394416517966,0.11557405,-0.09109852191543036,0.12167146,1.7828177,1.7576936467297153,0.16042787,0.2982485462219231,0.16049261,18.40589,18.94201,17.76408,817.6935413326494,1.3011663,361.92002100211647,9.149372,621.6215615538505,7.895489,0.07014291924875089
CarII,CarII-V3,18.46,18.13,18.01,1.0,2.5,15,24,5293940924860019584,113.7879861983004,0.12136566,-57.95410160416687,0.12063758,0.13498618953773853,0.14060305,1.9162294,1.9086376591297352,0.172491,0.1704030159794007,0.14457206,18.435713,18.77941,17.944172,795.5397397686121,7.771254,420.3909419241207,19.173597,526.6100917655714,14.990801,0.04316991608885088
