galaxy,target,ra_x,dec_x,g,bp-rp,a_g,g_0,r0_i0,pmra_x,pmdec_x,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
SgrII,Sgr2584,298.1624,-22.0775,16.96,1.48,0.85,17.5,16.37,-0.704,-0.939,6864047652495955584,298.1623799240772,0.06728719,-22.077479001466052,0.04674136,0.05245641023337691,0.07499784,1.1738237,-0.7040974053098751,0.081313334,-0.9392065402263642,0.05029556,16.96482,17.653088,16.172085,3083.3195520938743,2.2426734,1186.2653045795917,9.825782,2693.5446313270345,9.9346,0.09936146455105904
SgrII,Sgr2656,298.1815,-22.0773,18.41,1.19,0.04,18.72,17.92,-0.837,-0.911,6864047583776582656,298.1814754239601,0.16341138,-22.077348449579663,0.11575476,-0.19840642450036455,0.17652915,1.2373093,-0.8375939365899502,0.20808898,-0.9106979238190516,0.12674288,18.409101,18.938473,17.744562,815.2788365153259,1.2247533,363.10124999782334,9.615099,632.8972640883022,9.163618,0.19560488345385227
SgrII,Sgr2936,298.1534,-22.0496,17.31,1.39,0.55,17.76,16.64,-0.852,-0.918,6864423788550679936,298.15343529051364,0.08732375,-22.049594836842765,0.060731452,0.1135071002923918,0.10490631,1.2527544,-0.8522888377795212,0.10831913,-0.9181488679819105,0.065744646,17.308119,17.939388,16.547882,2247.49596990068,1.9505178,911.300559353203,8.9954195,1905.485603092084,9.552876,0.11956816674654848
