source_id,ra,dec,pmra,pmdec,FeH,e_FeH,Dist,e_Dist
3907202736390729216,185.3708,10.7759,-1.3429,-0.8428,-1.77,0.47,42.97,4.45
3907481256430650624,187.5617,11.3490,-1.9518,-1.1173,-1.32,0.51,38.23,2.96
3908108046777476864,184.2934,11.5867,-1.7435,-0.6761,-1.58,0.43,36.11,2.76
3908116190035206272,184.5212,11.7437,-1.3551,-0.6185,-1.92,0.45,49.42,4.02
3908487996764664832,184.4546,12.7767,-1.5171,-0.6866,-1.70,0.38,42.75,3.91
3908502329071336576,184.1667,12.5917,-1.3641,-0.6866,-1.90,0.47,49.77,4.47
3909048782054026752,186.0534,14.0148,-1.2005,-0.5742,-1.41,0.50,38.18,3.20
3909322594809248896,175.1770,5.9440,-1.0930,-1.1677,-1.37,0.46,35.97,3.76
3909452405900847232,174.2693,5.9344,-1.0773,-0.9822,-2.30,0.55,41.52,4.00
3909739618953887360,176.2662,6.6814,-1.1725,-1.1048,-1.71,0.56,37.35,4.05
3911372256282116096,174.2712,9.4109,-1.2437,-0.8265,-1.85,0.46,40.27,4.56
3911871537640587264,176.9134,8.8120,-1.4268,-0.8502,-1.63,0.46,26.20,2.47
3911960533658795008,178.4546,8.6983,-1.7378,-0.6071,-1.54,0.56,34.24,2.77
3912144628841254272,179.7506,9.7447,-1.3700,-1.1260,-1.33,0.45,34.12,2.78
3913257575126825984,178.3864,10.8717,-1.3837,-1.5728,-1.94,0.56,24.31,2.35
3913324168594995072,178.1546,11.1384,-1.4294,-0.8345,-1.58,0.49,36.83,3.28
3913514929567115648,177.1369,11.1745,-1.3918,-0.8536,-1.95,0.41,29.89,2.66
3914187521445289088,171.4884,9.4464,-2.0043,-0.8796,-1.36,0.44,30.12,2.76
3915428904432616960,171.4536,10.4003,-1.2469,-0.8256,-2.72,0.49,45.16,4.46
3915924509299139840,174.9402,10.1116,-1.3690,-0.9212,-1.07,0.69,33.08,3.82
3915997214505273472,174.7005,10.5098,-1.7696,-0.8246,-1.84,0.42,29.54,3.23
3917117410695524992,172.8899,11.5936,-1.6013,-1.1352,-1.46,0.47,29.93,2.56
3917317521811867264,172.3562,11.8917,-1.6366,-0.4043,-2.08,0.57,49.55,4.62
3917464066096432384,173.3296,12.4056,-1.2855,-1.0230,-1.87,0.48,36.60,3.24
3917796393485731456,174.8561,13.3059,-1.5185,-1.0882,-1.87,0.55,24.05,2.99
3917800551014047488,174.6628,13.2573,-1.6126,-1.0930,-1.54,0.50,27.42,2.29
3917823473254957952,175.0799,13.5155,-1.3433,-1.1828,-1.18,0.59,35.28,3.58
3918142189892606720,180.1639,9.8450,-1.0950,-0.7175,-1.66,0.42,36.17,2.89
3918178336337144704,180.5984,10.1781,-1.5989,-1.0423,-1.75,0.40,36.83,3.49
3918534028349228288,179.3692,11.1680,-1.0631,-0.7625,-1.63,0.42,36.89,3.11
3918644185670265856,179.5830,11.3677,-1.4971,-0.8618,-1.42,0.44,38.77,3.14
3918892782673132544,182.2219,11.9915,-1.3386,-1.2981,-1.56,0.40,26.99,2.44
3919034168700788864,180.8027,12.0163,-1.8671,-0.9995,-1.45,0.41,29.10,2.40
3919084333918874624,180.7791,12.1552,-1.6963,-0.8561,-1.85,0.45,26.08,1.91
3919168206040354560,181.9995,12.7250,-1.0286,-0.6254,-1.71,0.37,39.48,3.82
3919351038503495296,177.9295,11.3900,-1.6545,-1.0331,-2.17,0.51,30.92,2.85
3919787785137728896,178.7069,12.7606,-1.7336,-0.8008,-1.62,0.45,30.10,2.88
3919853167424601728,179.9255,12.5250,-0.9574,-0.7117,-1.68,0.39,36.60,2.94
3920420313562204032,183.1599,12.4148,-1.4004,-0.8817,-1.55,0.44,35.70,2.72
3920446770560452224,183.1498,12.7304,-1.1974,-0.9242,-1.61,0.47,40.19,3.45
3920824860825356928,182.5833,13.4944,-1.5102,-0.8642,-1.67,0.43,32.16,2.56
3920957455055858048,184.4983,13.4974,-1.8460,-0.8870,-1.87,0.55,30.76,2.84
3922081366393528320,183.0135,14.6766,-1.8536,-0.8179,-1.78,0.44,34.59,2.78
3923136102986272384,176.8280,13.7973,-1.2952,-1.1767,-1.49,0.51,28.20,2.93
3923737604566612352,178.8851,15.3823,-1.2610,-0.8895,-1.28,0.55,36.23,3.49
3923948401561004928,177.0808,14.4406,-1.7731,-1.1625,-1.64,0.51,28.70,2.42
3924209569932486144,175.5711,14.8976,-1.3377,-1.0417,-1.28,0.43,29.97,2.60
3924470051108840960,177.8674,15.2519,-2.1413,-1.0174,-0.99,0.53,25.80,2.67
3924502246183798144,178.3296,15.4857,-1.4671,-1.1530,-1.57,0.52,29.71,3.14
3924506712949935360,178.2316,15.5718,-1.6297,-0.7270,-1.82,0.64,35.62,4.04
3925370826010043008,180.1788,16.4869,-1.8873,-1.0188,-1.65,0.43,29.49,2.52
3927172032215032576,191.2833,10.0900,-1.5579,-1.0065,-1.60,0.43,35.16,2.66
3927413409377364608,191.9665,11.2193,-1.4939,-0.4067,-1.57,0.51,37.20,2.75
3927658188153413632,190.8687,11.4559,-1.5854,-0.4881,-1.57,0.39,38.44,3.41
3927750310907405568,193.1024,11.3662,-1.4001,-1.1720,-1.75,0.41,40.06,3.29
3928144137932537472,192.5620,12.2921,-1.1096,-1.0763,-1.45,0.43,52.24,4.91
3928450351921032064,191.1036,11.9434,-1.6695,-0.9342,-1.41,0.40,36.79,3.05
3928466191760532736,190.6936,12.1071,-1.1086,-0.2358,-1.35,0.42,48.94,5.06
3928529727212160512,190.4143,12.2863,-1.2732,-0.4635,-2.40,0.40,45.49,3.67
3928624766248473088,188.7606,11.9635,-1.6408,-0.9326,-1.45,0.56,37.18,4.57
3928958326293626240,191.1001,13.0198,-1.3569,-1.0561,-1.62,0.41,40.37,3.24
3929074702727271296,192.0115,13.3146,-1.3130,-0.4033,-2.26,0.45,47.49,4.64
3929352466852477184,190.7368,14.0048,-1.4940,-1.0241,-1.96,0.47,38.61,3.65
3929442695525197440,194.5123,12.7162,-1.6653,-0.5276,-1.83,0.41,40.40,3.48
3930384156651863808,195.4598,14.7288,-1.7197,-0.9220,-1.87,0.50,35.59,2.83
5998368264959651456,241.8097,-37.4033,-1.4953,-0.5895,-1.63,0.43,29.82,2.66
4130911193247937536,251.5247,-18.5521,-1.4236,-1.3335,-1.11,0.46,26.65,2.32
4130930881375704192,248.9721,-20.5511,-1.3344,-0.3925,-1.75,0.55,50.03,5.01
4130950054109907328,248.6111,-20.4298,-2.0757,-0.8685,-1.52,0.47,34.99,3.16
4131268057782842624,248.3855,-19.4125,-1.8446,-0.7321,-1.66,0.46,36.11,3.98
4131289773140347904,248.1501,-19.5035,-1.8045,-0.8255,-1.77,0.41,24.99,2.43
4131555026022689664,250.7211,-18.6693,-2.0901,-0.6749,-1.36,0.38,29.57,2.68
4132128936735267584,252.6425,-18.9909,-1.4156,-0.9545,-1.66,0.47,49.36,5.33
6213619725034238592,231.5231,-27.2342,-0.9356,-0.7148,-1.52,0.67,48.66,4.63
3342872071245853952,88.1379,11.2463,0.2488,-0.9312,-0.92,0.50,56.81,7.12
4048639793333345792,278.9557,-28.0632,-2.0479,-0.9518,-1.36,0.72,29.15,3.13
4048662608207929856,278.6672,-27.7919,-2.8700,-1.3820,-1.85,0.39,29.25,4.14
6735732648369171840,283.0015,-33.7782,-2.6405,-1.1465,-1.24,0.48,27.72,3.03
6735835418359806464,282.7254,-32.8946,-2.3260,-1.2034,-1.74,0.56,27.39,2.50
6735835663179113856,282.6690,-32.8750,-2.9233,-1.5317,-1.28,0.51,26.49,2.21
6735849750668543104,283.6558,-33.1191,-2.4223,-1.2216,-1.86,0.41,28.87,3.12
6735851193777695744,283.4842,-33.1198,-2.7494,-1.3472,-2.51,0.49,28.62,2.71
6735851292550310272,283.3935,-33.1733,-2.6188,-0.8835,-1.81,0.39,22.89,2.60
6735855999830020736,283.1186,-33.2261,-2.5534,-1.4106,-1.54,0.54,28.02,2.47
6735868717244322432,283.3350,-32.9524,-2.4548,-1.3490,-1.52,0.47,27.71,2.29
6735870675749276288,283.4052,-32.8847,-2.9311,-1.4177,-1.25,0.67,25.79,2.25
6735883075305411712,283.8960,-32.8087,-2.6736,-1.1449,-1.38,0.46,25.40,2.20
6735883732450404480,284.0159,-32.8200,-2.7623,-1.3360,-1.59,0.46,27.76,2.30
6735898266620421376,283.5176,-32.6663,-2.8592,-1.4024,-1.91,0.59,27.36,2.35
6735903828588459904,283.6372,-32.6111,-2.6009,-1.2964,-1.67,0.65,27.14,2.31
6735908368383950720,283.0445,-33.0286,-3.0652,-1.2694,-1.45,0.42,15.29,1.29
6735913621114444544,282.9043,-32.9401,-2.6384,-1.0959,-1.55,0.57,26.09,2.19
6735915785784747776,283.0351,-32.8249,-2.9947,-1.5182,-1.00,0.58,26.09,2.32
6735919359191854976,283.3166,-32.7547,-2.5739,-1.1287,-1.42,0.47,27.77,2.11
6735920389992246656,283.2884,-32.7305,-2.5961,-1.3199,-1.60,0.44,27.06,2.40
6735941181922611840,283.0188,-32.5246,-2.6713,-1.5704,-1.47,0.52,25.51,2.73
6735943552757244288,283.3952,-32.6778,-2.7683,-1.3816,-1.66,0.45,24.67,2.40
6735948530609320960,283.2734,-32.6177,-2.4619,-0.9664,-1.75,0.66,26.17,2.26
6735952550709784576,283.5247,-32.5379,-2.6058,-1.3050,-1.32,0.55,25.23,2.46
6735953340970159616,283.5402,-32.4775,-2.1767,-1.6091,-1.79,0.66,22.21,2.70
6268506898816623488,236.3027,-11.3842,-1.5364,-0.2999,-1.24,0.51,45.16,4.40
6268562905190373376,236.4446,-11.1925,-1.7110,-0.5360,-1.67,0.39,47.70,5.56
6268574587501513984,236.1237,-11.1010,-1.0985,-0.0873,-1.99,0.47,41.55,3.76
6268818747801825920,234.9743,-10.8639,-1.3324,-0.6868,-0.83,0.40,45.40,4.51
6268903929892835584,236.3130,-10.2566,-0.5605,-0.4982,-2.06,0.49,52.88,7.64
6762344201310785920,288.0380,-28.6667,-2.3204,-1.3373,-1.43,0.48,28.00,2.48
6762375911054048512,287.3478,-28.7271,-2.4396,-1.5631,-1.66,0.41,28.06,2.35
6762407418938743296,287.5090,-28.4008,-2.7831,-1.7343,-1.77,0.48,25.41,2.37
6762443604045649664,286.2339,-29.0617,-2.4356,-1.3073,-2.03,0.46,29.36,2.50
6762446726478761088,286.3047,-29.0185,-2.8383,-1.5768,-1.20,0.68,25.47,2.55
6762446966996966784,286.3629,-29.0092,-2.5725,-1.2919,-1.39,0.44,24.37,2.21
6762454904096433024,286.0495,-29.0331,-2.3204,-1.4348,-1.57,0.52,27.87,2.44
6762458992905496576,285.9747,-28.9749,-2.8768,-1.5862,-0.99,0.72,25.32,2.76
