source_id,Cluster,likelihood,prior,posterior,RVflag,SOS,classifier,G23,C17,New,Final,_RA,_DE
6029364906489321472,NGC_6266_M_62, 0.8389724832981403, 0.4966827221675091, 4.1670313682815541e-01,False,True ,True ,True ,False,False,True ,255.27661,-30.15051
6029364940849059456,NGC_6266_M_62, 0.7492625409657441, 0.5863617685945277, 4.3933890866230341e-01,False,True ,True ,True ,False,False,True ,255.27628,-30.13841
6029364979514073856,NGC_6266_M_62, 0.5450692676145039, 0.4077019401741187, 2.2222579793571920e-01,False,True ,True ,True ,False,False,True ,255.32367,-30.16564
6029364979615403008,NGC_6266_M_62, 0.6959569712267353, 0.4070996242853923, 2.8332382150520358e-01,False,True ,True ,True ,False,False,True ,255.32843,-30.16408
6029365009568611968,NGC_6266_M_62, 0.1506393021216333, 0.5032730591829498, 7.5812702411939006e-02,False,True ,True ,True ,False,False,True ,255.33136,-30.14894
6029365013873931008,NGC_6266_M_62, 0.2294861690923525, 0.5323504569533201, 1.2216706698078070e-01,False,True ,True ,True ,False,False,True ,255.33054,-30.14558
6029365048233800704,NGC_6266_M_62, 0.4627341396867128, 0.5501608794702461, 2.5457822125094959e-01,False,True ,True ,True ,False,False,True ,255.30398,-30.15152
6029365048233857408,NGC_6266_M_62, 0.4597867008178965, 0.6480848664702891, 2.9798080260438120e-01,False,True ,True ,True ,False,False,True ,255.31130,-30.14132
6029365078288073728,NGC_6266_M_62, 0.6013470565302435, 0.5707270421903514, 3.4320502690337990e-01,False,True ,True ,True ,False,False,True ,255.32082,-30.14604
6029365082593477504,NGC_6266_M_62, 0.1517061420482768, 0.5852520668681210, 8.8786333190342695e-02,False,True ,True ,True ,False,False,True ,255.32337,-30.14328
6029365082694727808,NGC_6266_M_62, 0.0059101137830969, 0.6571474837860051, 3.8838164014510998e-03,False,True ,True ,True ,False,False,True ,255.31511,-30.13946
6029365112647835904,NGC_6266_M_62, 0.1659300137502488, 0.5179733129126788, 8.5947318933862704e-02,False,True ,True ,True ,False,False,True ,255.33809,-30.14183
6029365112670196224,NGC_6266_M_62, 0.1387550014889882, 0.4527061710049441, 6.2815245431865105e-02,False,True ,True ,True ,False,False,True ,255.34880,-30.14236
6029365151414138624,NGC_6266_M_62, 0.5205062739779263, 0.4650167234611089, 2.4204412206616549e-01,False,True ,True ,True ,False,False,True ,255.35305,-30.13345
6029365220032464384,NGC_6266_M_62, 0.5063951316270465, 0.5410466406558782, 2.7398338481130469e-01,False,True ,True ,True ,False,False,True ,255.34759,-30.12291
6029365220032534400,NGC_6266_M_62, 0.7913495474666188, 0.5962257000718273, 4.7182293793980851e-01,False,True ,True ,True ,False,False,True ,255.34229,-30.11965
6029365250086737280,NGC_6266_M_62, 0.7600094326156085, 0.5962701221267452, 4.5317091720318720e-01,False,True ,True ,True ,False,False,True ,255.29983,-30.14676
6029365288752216704,NGC_6266_M_62, 0.0208548869221002, 0.8376313934424930, 1.7468707992644401e-02,False,True ,True ,True ,False,False,True ,255.31069,-30.12615
6029365288752237824,NGC_6266_M_62, 0.3172107300685902, 0.7932215069439397, 2.5161837332379439e-01,False,True ,True ,True ,False,False,True ,255.30181,-30.13049
6029365323112013312,NGC_6266_M_62, 0.5336631067247972, 0.6731188137395605, 3.5921867733516399e-01,False,True ,True ,True ,False,False,True ,255.29041,-30.13742
6029365323112052736,NGC_6266_M_62, 0.0409674583406827, 0.8365062157642910, 3.4269533546045700e-02,False,True ,True ,True ,False,False,True ,255.29688,-30.12635
6029365323112062336,NGC_6266_M_62, 0.4442120685673062, 0.8052944961532678, 3.5772153394210970e-01,False,True ,True ,True ,False,False,True ,255.29725,-30.12879
6029365323213260544,NGC_6266_M_62, 0.0056235181420735, 0.7571027867128387, 4.2575812564940004e-03,False,True ,True ,True ,False,False,True ,255.29334,-30.13121
6029365323213271168,NGC_6266_M_62, 0.0892615822861652, 0.7428508926300954, 6.6308046078852503e-02,False,True ,True ,True ,False,False,True ,255.28795,-30.12955
6029365357472084096,NGC_6266_M_62, 0.6797504648611685, 0.9063561621666008, 6.1609602256253160e-01,False,True ,True ,True ,False,False,True ,255.29214,-30.11698
6029365357572731008,NGC_6266_M_62, 0.0744200782382680, 0.9274628716229047, 6.9021859469265298e-02,False,True ,True ,True ,False,False,True ,255.29942,-30.12089
6029365357572743552,NGC_6266_M_62, 0.1570370320867919, 0.9024995662202711, 1.4172585333884849e-01,False,True ,True ,True ,False,False,True ,255.30049,-30.12282
6029365357572813312,NGC_6266_M_62, 0.7378576018351464, 0.9212098770946180, 6.7972171069988463e-01,False,True ,True ,True ,False,False,True ,255.29661,-30.11998
