source_id,label
5902578129041728384,-1
6070183489684676224,458
5937150622937629312,-1
6030044168448081664,-1
6027876103330357376,-1
6061912654007296128,-1
4152308754680322432,-1
2053689984709020800,-1
4071636594435767680,5722
4071707890910313856,-1
4071723279738156160,5722
4071737848284121344,5722
4071750836244308864,5722
4071789323477587712,5722
5901036441944060416,-1
5901047059102478208,-1
5901143438162012544,-1
4312093499581028992,-1
4312274437967389056,-1
4312288250586554368,-1
4317980074371729408,-1
4318106453828014336,2590
5277076924748251648,-1
5277232123391771136,-1
5278248793704152448,-1
5278257456639617280,-1
5278265595606435584,4340
5278299341167725696,-1
5278451825384579072,-1
5278460621480493056,3584
6070271961716672768,4165
5937211027355454336,-1
5937220441931108736,-1
5937222091202232192,-1
5937228825711945856,-1
6030047260825488256,3502
6030076466706095616,-1
6030093474692710400,-1
6030101583591867648,562
5238492106810086400,-1
5238593124432072704,620
6027749522077347200,-1
6027791200398991360,-1
6061698519796908416,3820
6061905026177458176,-1
4152033155213812224,2847
4152298176175843840,-1
4152468394324764544,2661
2054156933534483200,-1
4071650613213217920,5722
4071664558958286336,5722
4071667483863481472,5722
4071751974427432960,-1
5901091383174574464,-1
5901119008414597504,1282
5901305306892882432,-1
4312233786086802944,-1
4318078416273563392,2253
4318139714014635776,-1
5277267621300101376,-1
5278257967744045440,-1
6069982760093721344,3845
5937108807192138240,1191
5937197489614504448,1302
6030048772657493248,-1
6030098078898670464,1664
6027911626987918336,2021
6061710270833736192,-1
6061882657946745856,109
4152112251331700480,1374
4152308449737933312,-1
4152332467199701888,881
4152360195504062336,-1
2053765438689013248,-1
2053780587033795712,-1
2053844500436093056,-1
4071606186064262784,-1
4071713418488925184,5722
5900992152234543488,-1
5901406187077820032,-1
4312278629854010496,4373
4469683404509585152,-1
4469745153256167680,-1
4470238868342895616,-1
4317935411046710016,4561
4317956233054735488,4683
4317985198272147712,-1
4318043472407491328,4374
4318096936178456320,4499
4318101162429290112,4387
5278229212940287872,-1
5278229242998725504,-1
5902330360978566400,-1
5902541810795787008,-1
6070368585602015616,-1
5947555331508033280,3005
5937202471775076096,2329
5937204499053134848,-1
6030064921744006656,4841
6030090309306931968,-1
6030097426065837184,-1
5238418783137450240,54
5238432080340401664,-1
5238435138356524544,-1
5834097864857556864,5052
6027844488062090496,-1
6061900799895337472,-1
4152119638678520064,1424
4152221004202481920,-1
4152464266852849408,3774
2053846115341946624,-1
4071650888091358080,-1
4071694799805054976,-1
4071697995261119104,5722
4071752489845994496,5722
4312177680967618560,-1
4312210288319871744,-1
5278526145507077888,-1
5278534086893316352,6495
5278572153188441344,-1
5278640391627739264,-1
5278653521344576896,-1
5278673239541403136,5005
5278759486776683520,-1
1836787573531577728,916
1836901781007932416,-1
2266926791583949312,696
5961421311378369408,-1
5961425193968155904,1807
245435906133523072,-1
5961503220622082432,-1
5961568882119187712,1100
5961508997349163648,2787
5961509031708849664,-1
3828244302434896256,-1
3829137586912680704,768
3829156033796909312,-1
3829173832141816704,768
3829179020462263808,768
3829182868752931328,768
3830672432130618624,768
3830690402273699072,-1
2250745175876589184,-1
3834458188103774592,-1
3835082538910008192,-1
4658033216712099840,6764
4658033255365825024,5883
4658033869672810368,-1
4658036107265552512,3194
4658037275454159360,-1
4658037924146596864,7045
4658038478086719488,-1
4658040294949085824,-1
4658042081669625344,3116
5902410522233254400,-1
5902591804246642944,-1
6070069445418707840,3848
5947480534649517824,-1
5947664702860474368,-1
5937085992236368384,-1
5937143785347584384,-1
5937172200828528128,-1
5937199035800586240,-1
6030056400587085696,-1
