source_id,label
5902578129041728384,-1
6070183489684676224,-1
5937150622937629312,-1
6030044168448081664,-1
6027876103330357376,-1
6061912654007296128,0
4152308754680322432,-1
2053689984709020800,-1
4071636594435767680,1
4071707890910313856,-1
4071723279738156160,1
4071737848284121344,1
4071750836244308864,1
4071789323477587712,1
5901036441944060416,-1
5901047059102478208,-1
5901143438162012544,-1
4312093499581028992,2
4312274437967389056,-1
4312288250586554368,-1
4317980074371729408,-1
4318106453828014336,-1
5277076924748251648,-1
5277232123391771136,3
5278248793704152448,4
5278257456639617280,4
5278265595606435584,4
5278299341167725696,4
5278451825384579072,4
5278460621480493056,4
6070271961716672768,5
5937211027355454336,-1
5937220441931108736,6
5937222091202232192,7
5937228825711945856,-1
6030047260825488256,8
6030076466706095616,9
6030093474692710400,10
6030101583591867648,11
5238492106810086400,-1
5238593124432072704,12
6027749522077347200,13
6027791200398991360,14
6061698519796908416,15
6061905026177458176,-1
4152033155213812224,-1
4152298176175843840,-1
4152468394324764544,-1
2054156933534483200,16
4071650613213217920,1
4071664558958286336,1
4071667483863481472,1
4071751974427432960,-1
5901091383174574464,-1
5901119008414597504,17
5901305306892882432,-1
4312233786086802944,-1
4318078416273563392,-1
4318139714014635776,-1
5277267621300101376,18
5278257967744045440,4
6069982760093721344,19
5937108807192138240,-1
5937197489614504448,-1
6030048772657493248,-1
6030098078898670464,-1
6027911626987918336,-1
6061710270833736192,-1
6061882657946745856,-1
4152112251331700480,20
4152308449737933312,-1
4152332467199701888,-1
4152360195504062336,-1
2053765438689013248,21
2053780587033795712,-1
2053844500436093056,-1
4071606186064262784,-1
4071713418488925184,1
5900992152234543488,-1
5901406187077820032,-1
4312278629854010496,22
4469683404509585152,-1
4469745153256167680,-1
4470238868342895616,-1
4317935411046710016,23
4317956233054735488,24
4317985198272147712,-1
4318043472407491328,25
4318096936178456320,26
4318101162429290112,27
5278229212940287872,4
5278229242998725504,4
5902330360978566400,-1
5902541810795787008,28
6070368585602015616,-1
5947555331508033280,29
5937202471775076096,30
5937204499053134848,-1
6030064921744006656,31
6030090309306931968,-1
6030097426065837184,-1
5238418783137450240,-1
5238432080340401664,-1
5238435138356524544,-1
5834097864857556864,32
6027844488062090496,33
6061900799895337472,-1
4152119638678520064,-1
4152221004202481920,-1
4152464266852849408,-1
2053846115341946624,-1
4071650888091358080,-1
4071694799805054976,-1
4071697995261119104,1
4071752489845994496,1
4312177680967618560,-1
4312210288319871744,-1
5278526145507077888,-1
5278534086893316352,4
5278572153188441344,4
5278640391627739264,4
5278653521344576896,4
5278673239541403136,4
5278759486776683520,4
1836787573531577728,-1
1836901781007932416,-1
2266926791583949312,-1
5961421311378369408,-1
5961425193968155904,-1
245435906133523072,-1
5961503220622082432,-1
5961568882119187712,-1
5961508997349163648,34
5961509031708849664,-1
3828244302434896256,-1
3829137586912680704,35
3829156033796909312,-1
3829173832141816704,36
3829179020462263808,37
3829182868752931328,-1
3830672432130618624,35
3830690402273699072,-1
2250745175876589184,-1
3834458188103774592,-1
3835082538910008192,-1
4658033216712099840,4
4658033255365825024,4
4658033869672810368,4
4658036107265552512,4
4658037275454159360,4
4658037924146596864,4
4658038478086719488,4
4658040294949085824,4
4658042081669625344,4
5902410522233254400,-1
5902591804246642944,-1
6070069445418707840,38
5947480534649517824,-1
5947664702860474368,-1
5937085992236368384,-1
5937143785347584384,-1
5937172200828528128,-1
5937199035800586240,-1
6030056400587085696,-1
5834043748237173632,-1
5834058110669703296,-1
5834091336504545920,-1
5834162529841649152,39
6027923897742238464,-1
4152080575954606976,-1
4152328687629711232,-1
2053756436437764480,-1
2053936889483149824,40
2053980182752691456,-1
2054072546013853056,41
4071639343235529984,1
4071753039580049920,1
4071762278037959680,1
4071799837552793472,1
4312152903270548736,-1
4312209120088459520,-1
4312209150153380608,42
4312226574868816256,-1
4312291136805146496,-1
4469638702489690496,-1
4470243811849796352,-1
5278296897329175296,4
5278298134278768256,4
5278441796635458304,4
5278488212350525056,4
5278508244076844800,4
5278521511234491648,4
5278538897263015808,4
5278543978206057472,4
5278548311833989760,4
5278551537348852480,4
1836589489650544128,-1
5278665719058964608,4
5278693821023285376,4
5278711619368919552,4
5278740137949825920,4
5278758211171742208,4
5278758451689926400,-1
5278772371686257024,4
1837014863215681408,-1
5793329038798787840,-1
2264388882522834688,43
2195958504330260224,-1
5961432095962308864,-1
245464806968150400,-1
5961483055796945408,-1
5961532941818574592,-1
5961575135554920448,-1
3829068867436111488,44
3829157034524986496,45
3829165246502079744,46
3829170022505736192,36
3830547671920586752,-1
3833326996797682560,36
4658034522377050496,4
4658035076431748992,47
4658035140986429696,4
5278261712955637504,4
5278273429645091328,4
5278277518432073856,4
5278299749182521088,4
5278313669170712960,4
5278314764406392576,4
5278319677832168576,4
5278339645141769216,4
5278372213872211584,4
5278386576251757952,4
5278395200537281408,4
5278433271134010624,4
5278486837957487616,4
5278509618463841792,4
5278520613580356864,4
5278531093301107456,4
5278546074150083712,4
5278555763596326912,4
5278577204070362240,4
1836573237491457280,48
5278618504480011776,4
5278621871734524672,4
5278640529066689792,4
5278655716075636736,4
5278705881305259776,4
5278742749290274176,4
5278743543857300480,4
5278768351596885120,4
5278770168360604288,4
1836750220199763712,-1
1836833302045485184,-1
5793584812690272384,-1
5793751491772935040,-1
2196427342960667264,-1
2270368503494471936,-1
5961480921152694656,-1
5961485181759905792,-1
246570709506590848,-1
3829079136703001984,49
3829144866882605696,36
4658042562704767232,-1
4658045796672883968,4
4658047613479796224,-1
4658048957809250432,4
4658054141924900480,4
4658056929271254784,4
4658062456958351104,50
4658067061139925888,-1
4658067267300011776,4
4658068779065797376,4
4658070982410522752,4
4658071630934188288,4
4658071940172319744,4
4658072769117748352,4
4658052325027175040,4
4658053901406692224,4
4658073245805528832,4
4658073971668665984,4
4658074826388598528,4
4658075861453947776,4
4658075895854297472,51
4658078262413278464,4
4658080122103708160,4
4658086302589025280,4
4658088398519355520,4
4658088677681930752,-1
4658091392100298240,4
4658091456533490688,-1
4658092246808564224,4
4658097160230643072,4
4658097198899537152,4
4658097950458415488,4
4658100458763209472,4
4658101596964914304,4
4658106029263117056,4
4658110010783533184,4
4658110113810327680,4
4658111282051404928,4
4658113171819873792,-1
4658119459660030080,52
414244308598435328,-1
5251893160694151808,-1
4317973378517594368,-1
4318062885661214720,53
4318077144964190080,-1
5278232644617823872,4
5278235049799716992,4
5278236634643596544,4
5278246766479163520,4
5278303047717549056,4
5278314317712416512,4
5278323491763240704,4
5278326240551091840,4
5278341874244567168,4
5278388401603070208,4
5278392696577437952,4
5278448531152091520,4
5278453547673878016,4
5278505186057398144,4
5278510580536643200,4
5278518380214826496,4
5278531475558808576,4
5278567514627485952,4
5278604004669918592,4
5278604245188212352,4
5278606822176653952,4
5278623452281736192,4
5278648569248835456,4
5278669837928230528,4
5278699013647227264,4
5278757768789744896,4
2265575732309050880,-1
2269053526244248704,54
245251978451433728,-1
5961436631442344064,-1
5961488312837506304,-1
5961516762659073024,55
3829018908376394368,36
3829084565541008256,56
3829098794767747968,49
3829147787460597120,57
6070116591283969536,-1
5937135367210004096,58
5937153096805596800,59
5937175946107315328,60
5937218689583498496,61
6030060622489949312,-1
5238531345615075968,-1
5834080478819589504,-1
5834129063520477952,-1
5834168061761959808,-1
6027751789838143744,-1
6027753954491576960,-1
6027771679800065792,-1
6027795220489404288,62
6027823807803759360,63
6061897466997276288,-1
4152165100919823360,-1
4152434305160851328,-1
2053380055552029568,64
2053544883521990912,-1
2053901911270452352,-1
4071742181895057024,1
5901029947970430720,-1
4312180876429210752,65
4470126301533678720,-1
4318115146804283648,-1
4318146070597385472,66
5277312387740062208,-1
5278229036840318080,4
5278258380061433344,4
5278270165448320256,4
5278280198492339968,4
5278287104800101504,4
5278294011105957120,4
5278319265515150720,4
5278337682335420160,4
5278368984056690816,4
5902394751139903616,-1
6069706851396778240,-1
6069788902457551232,-1
5947624119696972800,-1
5937143815387490048,67
5937143854128965120,-1
5238371950807355264,-1
5834139886759736192,68
6027718392149898368,69
6027755397601469952,-1
6027837551700339840,-1
6027863733827861504,70
6061807062215683072,-1
6061866508861866240,-1
4152095316285488256,-1
4152347203226959872,71
4152402320542240640,-1
4152486257088166528,-1
2053521759414436352,-1
4071648517275257344,1
4071772895222741888,1
4071818460528108288,1
5901113785727301120,-1
4312101952077959936,72
4312160363652301312,-1
4312164692984471168,-1
4312227743069617536,-1
4312274025650528256,-1
5947596013436502912,-1
6030078700062804864,-1
6030080658522315648,-1
5238396655442602880,-1
5238519182291188736,-1
5834095528392868736,-1
5834119030470771584,-1
6027722584078173056,-1
6027802882711962880,73
6061893343865766144,-1
4152286695726911360,-1
4152409673533387392,74
4152494095407234688,-1
2053798664539004032,-1
4071614982157271424,1
4071687721696258304,1
4071703454163437824,1
4071799661435379200,1
4071806365909675776,-1
5901059939699625088,-1
5901171853670503936,-1
4312242689562865920,53
4312247736144023936,75
4469896542265671040,-1
4317925927755436544,-1
4317959119274420096,-1
4318143459230704256,-1
4318167167456408192,76
5278241646864489216,4
5278252886799682944,4
5278272334406206208,4
5902461924413624192,-1
6070025125657191936,-1
5937096334522209408,77
5937136741596496256,-1
5937142204796318464,-1
5937186288329988224,78
5937218964461205632,-1
5937224049705388032,-1
6030033929334908416,-1
6030064509423604608,79
5238588211007373568,80
5238729773132850432,-1
5834132774293128960,81
5834152977826469888,-1
6027905270441218048,-1
6061585274397893632,-1
4152031888217067136,82
4152264915943716352,-1
4152382044005589632,83
4152481073072108928,-1
2053899407310640128,-1
2054206789513243904,-1
4071660813733171200,1
4071678032250461952,1
4071765855763847808,1
3842141747157794048,-1
4658042532539070976,4
4658043975647978496,84
4658047922717362048,4
4658050602876620416,4
4658055481953817472,4
4658056512661280640,4
4658056688712849536,4
4658061701043421696,4
4658063148348553088,85
4658064862152680448,4
4658071252932747008,4
4658051122436750464,4
4658075169991025024,4
4658075960309135872,4
4658076613183185664,86
4658078537290855168,4
4658081255976168320,-1
4658087749969692544,-1
4658089498030848640,4
4658091215961463040,4
4658095957633953024,4
4658096576111138048,-1
4658099050009197952,4
4658101352117492608,4
4658101867516884480,4
4658103826024193536,4
4658104307060467968,4
4658104650598715904,4
4658106506087908224,4
4658117535567384448,4
4658119906348902016,4
5952757331516175104,87
5952828593580031104,-1
5983866432453437440,-1
5984192368903938048,-1
5984107947056906624,-1
5823664873852867840,-1
5823705693231071360,-1
3352102441297986560,-1
6070437575661118336,-1
6030041007348522752,88
6030088011499555840,-1
5238333364815436160,-1
5834038525553561088,-1
5834044435432711296,-1
5834058729093721728,-1
6027883181443908608,-1
6027909226128885632,89
6061686773082004224,-1
2053957956286747648,-1
2054156108908972928,-1
4071711494342024704,1
4071817665935015424,1
4312244304472610304,-1
4312271139431772160,-1
4469717218784125184,-1
4317937403912800384,90
4318034362777412992,-1
4318102949135429120,91
5277263253315189504,-1
5277629906084882048,-1
5278268722339056128,4
5278272467553862400,4
5278281882119359744,4
5278296038343488000,4
5278311848112404352,4
5278349021049404288,4
5278352731904208896,4
3829164245774748288,-1
3829168849979361536,92
3833327202955914368,45
2250973466274455424,-1
2251397190567163264,-1
2253569035271316480,-1
4658033903901826816,4
4658041806790745856,4
4658042596912912640,4
4658046994999312640,4
4658048232052635904,93
4658055554841864320,4
4658055967158583680,4
4658056615740436352,4
4658057784058804096,4
4658057818418550016,4
4658060945127285248,-1
4658061872843290752,4
3844668802835422336,-1
4658065068312640768,4
4658066687402965248,4
4658072150603418880,4
4658072489921389952,4
4658074379756142720,4
4658075994668843776,-1
4658077682561507072,-1
4658078056254065280,-1
