source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
3949497512738109184,187.84905441514124,0.15475723,21.12423304537091,0.12061581,0.5994779206335307,0.184594,13.6723385,-4.556588403560878,0.21626943,-12.890707765974609,0.16121954,18.581207,19.448122,17.719467,695.766549146889,1.1480827,227.0743365376722,7.767011,647.6960833720256,6.974383
3949497998069716864,187.91698392125505,0.011966108,21.14942674311298,0.011551765,1.2842671189193988,0.015121908,4.6246953,-3.9041093038746877,0.0164256,-2.4790596765799613,0.0147694675,13.259198,13.532894,12.819161,93598.16514718444,18.179773,52754.45793284956,33.764046,59087.213621171664,29.76869
3949502254381987200,187.6047060016919,0.5784489,21.065199979380864,0.53612673,0.7731314006813461,0.7173792,22.607937,14.131216676073924,0.6951885,-17.64730967151261,0.64709586,20.033941,20.966024,18.841814,182.5451264168596,0.90502894,56.10574637466777,8.102657,230.37353195670613,12.033152
3949503422612903552,187.46792734843692,0.3456972,21.041830906577886,0.35584298,0.08450263476194711,0.4896126,7.0515294,-6.881138669181624,0.414047,-1.5407774258236349,0.4522958,19.530886,20.48931,18.36327,290.13004396427414,1.0342121,87.03490889678777,6.8537855,357.9727609994935,6.4277854
3949503972369559936,187.499129293973,11.31528,21.08178818045585,6.4219966,,,,,,,,21.128544,20.680532,19.928696,66.608375437284,1.9187385,72.9800337525757,0.8098313,84.66039690489113,9.511901
3949505007456448128,187.46932958012542,24.704248,21.10357444403419,26.496939,,,,,,,,21.960752,20.245672,19.562298,30.948918374148633,1.5814466,108.93011728933959,6.06396,118.6420963142062,14.580319
3949506519284889728,187.48945659572362,5.434379,21.124774310776935,5.013324,,,,,,,,21.293272,20.527714,19.048456,57.2318642536424,1.2232724,84.0101338799837,14.5704975,190.44785169683186,15.18369
3949513013274398976,187.63897796974703,0.7154004,21.222054926382004,0.64320004,1.6313269991186166,0.82503843,6.9277773,-3.9796616284426567,0.9322044,-5.670660791857248,0.74609154,20.416382,20.71051,19.968515,128.3494143078319,0.89934057,70.9925523523773,7.144705,81.61159196911105,7.429249
3949514245930511744,187.72275530469184,0.19425601,21.25906284826956,0.15483591,-0.17982130917505912,0.22361085,4.6243,-1.9662463244753539,0.2420415,-4.1854542865364674,0.18729837,18.777897,19.145695,18.318186,580.4808861046631,1.2371373,300.0124877075215,10.699783,373.1506112951494,7.5339274
3949514937421182464,187.78974222791555,0.18874769,21.32850741374175,0.13850413,-0.01894006563938825,0.22083755,7.5351067,-6.568459529093472,0.24199636,-3.692312480438898,0.18221949,18.783112,19.058704,18.347668,577.699520858961,1.1191895,325.0387690878082,9.573774,363.1543061451495,10.654143
3949550598533717376,188.36889643353533,5.571876,21.30877095628899,5.1055417,,,,,,,,17.520815,17.503687,16.35921,1847.6555714990457,28.950382,1361.2632969768622,10.188392,2267.118881967599,9.534433
3949551152584693120,188.42240097132643,17.12455,21.34821056303423,8.024719,,,,,,,,21.007933,21.502968,19.784872,74.4343589288168,1.9490528,34.21603248682738,12.344658,96.65164004501915,30.411947
3949583416378407808,188.67245480106186,0.6192686,21.539581317897028,0.5768303,1.5757804268545315,0.78438765,9.01086,-8.142981733750428,0.87039804,-3.8584260006965767,0.86306393,20.392937,20.639343,19.85551,131.15103162962413,0.8271032,75.80183212001329,10.121761,90.56366495488665,5.9976115
3949588462965333120,188.07880423568153,0.1480486,21.178977437510945,0.12481952,0.7683535846144663,0.18412684,16.192057,-13.948943204400114,0.20791619,-8.222512391313014,0.16293685,18.54945,19.34986,17.70894,716.4180129254071,1.2675343,248.58384896069666,7.4583426,654.006454742707,7.7949467
3949590799427590656,188.18532663196436,0.055388577,21.2728080847916,0.05115019,0.7480132722179232,0.07042025,22.898575,-6.265947936457913,0.07305679,-22.02459092426205,0.06557742,16.747849,17.19327,16.134619,3765.367561068099,2.217677,1811.7954119251622,7.741631,2788.112707859265,10.075309
3949591181679710592,187.97194742218576,1.0142676,21.169683122260782,0.58013356,0.795449862654947,1.1000856,5.7425075,-4.529800377602339,1.5205795,-3.529489912994298,0.85242784,20.753386,20.963673,20.034285,94.10061564600937,0.88201797,56.227423883298776,7.5679593,76.81471766897998,15.196604
